words,sentiment_coeff
hoax,-90.7025487279825
cegah,-114.20237376093682
hidup,-95.10509049929186
anggota_polri,-97.3365950091772
ta,-104.28479601070475
caso,-37.37318316134254
2020_gratisno,-101.15535934723765
polri,-116.18968039632409
michigan,-110.13937211017102
pola_hidup,1.0002234363657756
pola,-110.54419668120323
shows,-101.14361830726405
multiple,-100.12945522886926
going,-113.04392521724407
take,-103.43780327755817
no,-113.48852365165136
reopen,-116.39821069462812
bombshells,-37.41279878871058
13,-104.52871689586588
drops,-59.270399816752324
tom_hanks,-67.58786748970257
blood,-84.62732710198591
karen,-94.5293344471636
patients_critical,-65.82684662385334
condition,-72.28728275974458
society_hear,-76.9846805889249
plan,-121.62423113466342
hits_200,-55.877298548311394
today,-98.81056189238289
corona,-112.0561612349795
anti,-91.1894087951344
protests,-104.45357018609454
even_feel,-64.8566446610187
well,-95.69354017946202
symptoms_daily,-81.7459436108902
even,-96.95568894587291
identify_risk,-9.899862782876529
reporting_symptoms,-56.93863553573111
daily_even,-79.44869212051772
feel,-77.24169508089786
toll,-99.51728668752544
sooner_self,-78.43619298815692
self_reporting,-63.373467804677176
sooner,-59.287715891868935
identify,-37.85862056930549
feel_well,-76.96145214218936
download,-66.4200151464497
well_download,-70.64832452725841
rate,-86.3471768749137
sars_cov,0.9991486443538461
must_tackle,-88.15919119352834
pas,-87.5701808080129
show,-107.8475475211249
americans_died,0.9991342903984155
climate,-104.02758280366031
disease,-84.42254274903408
sent_ppe,-59.126187542726
care_worker,-24.270043095873834
trump_incompetence,-76.22262303029245
caused,-102.41646246545459
cut_pandemic,-74.91638341231375
crash,-95.70931774753964
all_time,-62.73065227997466
26,-94.77893776427143
stopping_spread,-64.07702543630403
join,-109.42379932636828
twitter_suspends,-67.69493200236866
account,-111.84681155612724
created,-97.47294924731642
boris_johnson,-80.5261137075515
biotech,-116.72015834381081
removes,-103.32945907495466
company,-101.67184011604459
suspends,-107.43688690241535
60_higher,-46.14771035855283
return,-88.43300677343166
60,-90.66245047430242
johnson,-92.8163483228367
worried,-81.68928833776792
germany,-82.7383294965111
expert,-89.79444016680618
economy,-94.41646882151085
make_extra,-80.34245147556139
money,-107.34154468658994
students_make,-78.90390044617295
extra,-100.43555686716306
13_ways,-78.63993308079704
students,-99.84930645729455
workfromhome_online,-73.39846279544832
ways_students,-66.52219099182976
online_make,-84.42202648719027
extra_cash,-57.17967582228873
campuses_closed,-57.33049564020017
closed_13,-77.00921560262155
ways,-99.61974894898385
racial_inequality,-56.169811432458296
guy,-57.21484391086877
force,-104.596373576396
pmoindia,-118.97055842026916
republic,-51.360841366254846
expert_for,-66.72009464696413
many,-109.76022578632036
jp,-77.78176078287827
tracing_app,1.0003247999126255
bh,1.0008669976996059
list,-97.89245233243959
extra_money,-87.262390623003
quarantinelife,-80.91020174567406
money_quarantinelife,-91.00938120856691
campuses,-87.17585884585675
quarantinelife_campuses,-84.04634080144838
closed,-96.27996751550435
lawan,-104.36138670365985
91,-36.91424332759189
explained,-19.85541298145306
kita,-112.84608726378595
volunteer,-86.10346118606478
jaga,-113.65723362087243
ibadah,-83.34572072634631
demand,-94.25615478787626
1441,-96.57675778634322
boost,-56.43911014064786
food,-106.74453374236313
let,-110.01744784831178
bank,-90.24419519782545
usda,-63.930217682980604
island,-103.6319686015694
paid,-113.13862908481933
tracking,-98.56015459695703
arrested,-111.36197412779974
response_utterly,-12.678357453379032
head,-107.18110789520046
racial,-97.86545349509632
pemerintah,-105.66140156397904
sunday,-100.13767431538214
possible_symptoms,-41.44780276377596
kids,-89.44257575927587
retweet,-87.10102413929664
great,-86.99808238108248
poverty,-100.76333988613962
nyc,-97.03260931432311
allow,-107.82777088086111
frontline,-109.24545007158673
mengurangi_penyebaran,-39.894944297367026
behind,-97.44707424172816
jawa_timur,-76.04669481370124
memantau,-89.83190768707334
mudik,-104.47281013667674
arus,-53.76665569522399
outlines,-86.1219506000042
russia,-106.55671777860483
telling,-85.16960115258736
connected,-64.4741645606239
soros,-84.52057254245027
democrat,-98.82738750623554
dr_judy,-90.19300151365249
mikovits,-84.87446075164816
biggest,-49.80316659580869
timur,-39.97630347714304
blasio,-75.95705061973388
jawa,-116.39827756650669
john,-81.59751350589612
realdonaldtrump_foxnews,-59.57019384798028
cnn,-117.05068229464541
investigation,-122.86964774445704
2121_hello,-86.02130711448693
fantasticradio,-66.73394090455044
daily_talk,-69.97696720723243
stayhomesafelives_buy,-70.92445908756638
song,-65.23472625768393
fantasticradio_co,-46.88724194503795
hello_fantasticradio,-81.17045521044084
co,-91.39797201519521
believeyourpossibilities_stayhomesafelives,-77.95538436527671
buy,-93.83350344726095
fantasticradiouk_homeofpossibilities,-77.07032837394186
believeyourpossibilities,-65.337492605456
homeofpossibilities_believeyourpossibilities,-88.36689327046346
stayhomesafelives,-66.42752759982727
0208_90,-69.69727622473182
2121,-68.70813734524792
90_2121,-69.5313362889998
hello,-64.11818450772778
co_uk,-83.67983645156684
fantasticradiouk,-62.02095182494035
uk_fantasticradiouk,-71.7930877265315
homeofpossibilities,-65.92788620842465
total_number,-22.577074263800217
public,-110.67086551875892
school,-102.72012739415119
teacher,-86.91524697512294
adding_value,-71.0134524541646
value_lives,-56.04915098719853
talk_us,-89.35467983669572
0208,-62.62477522678983
us_0208,-58.07628120967864
90,-106.20291348007181
quarentena,1.0003649501356244
pessoas,-83.95059667823494
uma,-89.30213847848856
videos,-90.8760937010698
14,-88.38050247455196
tiempos,-28.008448627475577
waiting,-97.92616383881179
room,-104.6028431985088
shi,-125.85310552356643
chu,-136.95941993073166
27,-97.22251390114387
april_27,-68.29508188263638
claims,-104.58853886028307
might,-89.82226071671738
values,-63.245539580639445
community,-83.40479758337703
lockdown_eases,-63.49155264478125
zealand,-117.20502263095382
joins,-79.68024718466454
