AGE_GROUP,CASE_RATE,HOSPITALIZED_RATE,DEATH_RATE,date,period,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT
18-44,2894.81,295.64,22.23,10-21-2020,17,97546.0,9962.0,749.0
45-64,4203.89,932.76,210.16,10-21-2020,17,86434.0,19178.0,4321.0
65-74,4126.49,1810.42,681.57,10-21-2020,17,28849.0,12657.0,4765.0
75+,4871.15,2919.15,1726.4,10-21-2020,17,26644.0,15967.0,9443.0
Citywide,2977.27,696.12,229.72,10-21-2020,17,250053.0,58465.0,19294.0
0-17,587.58,40.59,0.87,10-22-2020,17,10147.0,701.0,15.0
18-44,2901.19,296.26,22.26,10-22-2020,17,97761.0,9983.0,750.0
45-64,4209.63,933.1,210.16,10-22-2020,17,86552.0,19185.0,4321.0
65-74,4130.78,1811.71,681.86,10-22-2020,17,28879.0,12666.0,4767.0
75+,4873.17,2920.61,1726.77,10-22-2020,17,26655.0,15975.0,9445.0
Citywide,2982.46,696.68,229.78,10-22-2020,17,250489.0,58512.0,19299.0
0-17,591.11,40.71,0.87,10-23-2020,17,10208.0,703.0,15.0
18-44,2908.16,296.64,22.29,10-23-2020,17,97996.0,9996.0,751.0
45-64,4215.22,934.02,210.26,10-23-2020,17,86667.0,19204.0,4323.0
65-74,4136.93,1813.57,681.86,10-23-2020,17,28922.0,12679.0,4767.0
75+,4878.83,2924.45,1727.87,10-23-2020,17,26686.0,15996.0,9451.0
Citywide,2988.18,697.48,229.89,10-23-2020,17,250970.0,58580.0,19308.0
0-17,595.68,40.77,0.87,10-24-2020,17,10287.0,704.0,15.0
18-44,2925.02,297.21,22.29,10-24-2020,17,98564.0,10015.0,751.0
45-64,4226.41,935.34,210.31,10-24-2020,17,86897.0,19231.0,4324.0
65-74,4143.94,1815.72,682.0,10-24-2020,17,28971.0,12694.0,4768.0
75+,4886.33,2928.29,1728.05,10-24-2020,17,26727.0,16017.0,9452.0
Citywide,2999.71,698.47,229.93,10-24-2020,17,251938.0,58663.0,19311.0
0-17,598.52,40.82,0.87,10-25-2020,17,10336.0,705.0,15.0
18-44,2929.26,297.3,22.29,10-25-2020,17,98707.0,10018.0,751.0
45-64,4231.32,935.87,210.36,10-25-2020,17,86998.0,19242.0,4325.0
65-74,4147.94,1817.29,682.0,10-25-2020,17,28999.0,12705.0,4768.0
75+,4890.35,2929.38,1728.42,10-25-2020,17,26749.0,16023.0,9454.0
Citywide,3003.79,698.85,229.96,10-25-2020,17,252281.0,58695.0,19314.0
0-17,601.94,40.82,0.87,10-26-2020,18,10395.0,705.0,15.0
18-44,2934.52,297.54,22.29,10-26-2020,18,98884.0,10026.0,751.0
45-64,4235.75,936.41,210.36,10-26-2020,18,87089.0,19253.0,4325.0
65-74,4151.66,1819.44,682.0,10-26-2020,18,29025.0,12720.0,4768.0
75+,4892.91,2930.3,1728.6,10-26-2020,18,26763.0,16028.0,9455.0
Citywide,3008.16,699.32,229.97,10-26-2020,18,252648.0,58734.0,19315.0
0-17,607.15,40.88,0.87,10-27-2020,18,10485.0,706.0,15.0
18-44,2941.97,297.74,22.29,10-27-2020,18,99135.0,10033.0,751.0
45-64,4243.82,936.7,210.4,10-27-2020,18,87255.0,19259.0,4326.0
65-74,4156.52,1820.58,682.57,10-27-2020,18,29059.0,12728.0,4772.0
75+,4897.85,2932.49,1728.78,10-27-2020,18,26790.0,16040.0,9456.0
Citywide,3014.93,699.72,230.05,10-27-2020,18,253216.0,58768.0,19321.0
0-17,610.91,41.06,0.87,10-28-2020,18,10550.0,709.0,15.0
18-44,2951.14,298.34,22.29,10-28-2020,18,99444.0,10053.0,751.0
45-64,4249.75,937.82,210.4,10-28-2020,18,87377.0,19282.0,4326.0
65-74,4162.24,1823.15,682.86,10-28-2020,18,29099.0,12746.0,4774.0
75+,4902.05,2933.41,1729.15,10-28-2020,18,26813.0,16045.0,9458.0
Citywide,3021.61,700.54,230.09,10-28-2020,18,253777.0,58837.0,19325.0
0-17,613.17,41.06,0.87,10-29-2020,18,10589.0,709.0,15.0
18-44,2955.47,298.57,22.29,10-29-2020,18,99590.0,10061.0,751.0
45-64,4253.89,938.3,210.55,10-29-2020,18,87462.0,19292.0,4329.0
65-74,4166.39,1824.01,683.0,10-29-2020,18,29128.0,12752.0,4775.0
75+,4904.25,2937.06,1730.43,10-29-2020,18,26825.0,16065.0,9465.0
Citywide,3025.34,701.07,230.22,10-29-2020,18,254091.0,58881.0,19336.0
0-17,621.57,41.17,0.87,10-30-2020,18,10734.0,711.0,15.0
18-44,2972.35,299.23,22.26,10-30-2020,18,100159.0,10083.0,750.0
45-64,4267.36,939.96,210.6,10-30-2020,18,87739.0,19326.0,4330.0
65-74,4176.98,1827.16,683.15,10-30-2020,18,29202.0,12774.0,4776.0
75+,4913.75,2940.9,1730.97,10-30-2020,18,26877.0,16086.0,9468.0
Citywide,3038.64,702.27,230.27,10-30-2020,18,255208.0,58982.0,19340.0
0-17,626.95,41.29,0.87,10-31-2020,18,10827.0,713.0,15.0
18-44,2981.73,299.61,22.26,10-31-2020,18,100475.0,10096.0,750.0
45-64,4275.24,940.79,210.65,10-31-2020,18,87901.0,19343.0,4331.0
65-74,4182.27,1828.16,683.15,10-31-2020,18,29239.0,12781.0,4776.0
75+,4919.79,2944.19,1731.16,10-31-2020,18,26910.0,16104.0,9469.0
Citywide,3046.28,702.95,230.3,10-31-2020,18,255849.0,59039.0,19342.0
0-17,631.01,41.29,0.87,11-01-2020,18,10897.0,713.0,15.0
18-44,2991.05,299.7,22.26,11-01-2020,18,100789.0,10099.0,750.0
45-64,4282.24,940.98,210.79,11-01-2020,18,88045.0,19347.0,4334.0
65-74,4187.13,1828.45,683.43,11-01-2020,18,29273.0,12783.0,4778.0
75+,4923.81,2944.38,1731.71,11-01-2020,18,26932.0,16105.0,9472.0
Citywide,3053.24,703.07,230.39,11-01-2020,18,256434.0,59049.0,19350.0
0-17,634.08,41.35,0.87,11-02-2020,18,10950.0,714.0,15.0
18-44,2997.82,300.47,22.26,11-02-2020,18,101017.0,10125.0,750.0
45-64,4288.03,942.34,210.89,11-02-2020,18,88164.0,19375.0,4336.0
65-74,4190.99,1829.73,683.58,11-02-2020,18,29300.0,12792.0,4779.0
75+,4927.46,2948.22,1732.07,11-02-2020,18,26952.0,16126.0,9474.0
Citywide,3058.56,704.08,230.45,11-02-2020,18,256881.0,59134.0,19355.0
0-17,639.58,41.4,0.87,11-03-2020,18,11045.0,715.0,15.0
18-44,3008.89,300.65,22.26,11-03-2020,18,101390.0,10131.0,750.0
45-64,4295.96,943.12,210.94,11-03-2020,18,88327.0,19391.0,4337.0
65-74,4199.01,1830.74,683.72,11-03-2020,18,29356.0,12799.0,4780.0
75+,4935.69,2948.58,1733.17,11-03-2020,18,26997.0,16128.0,9480.0
Citywide,3067.28,704.46,230.55,11-03-2020,18,257613.0,59166.0,19363.0
0-17,644.67,41.46,0.87,11-04-2020,18,11133.0,716.0,15.0
18-44,3017.25,300.89,22.26,11-04-2020,18,101672.0,10139.0,750.0
45-64,4303.99,943.9,211.08,11-04-2020,18,88492.0,19407.0,4340.0
65-74,4204.15,1831.88,683.86,11-04-2020,18,29392.0,12807.0,4781.0
75+,4939.17,2951.14,1734.81,11-04-2020,18,27016.0,16142.0,9489.0
Citywide,3074.33,705.02,230.7,11-04-2020,18,258205.0,59213.0,19376.0
0-17,651.97,41.69,0.87,11-05-2020,18,11259.0,720.0,15.0
18-44,3028.5,301.27,22.29,11-05-2020,18,102051.0,10152.0,751.0
45-64,4312.2,944.82,211.08,11-05-2020,18,88661.0,19426.0,4340.0
65-74,4215.74,1833.45,684.15,11-05-2020,18,29473.0,12818.0,4783.0
75+,4947.39,2954.25,1735.73,11-05-2020,18,27061.0,16159.0,9494.0
Citywide,3083.85,705.78,230.8,11-05-2020,18,259005.0,59277.0,19384.0
0-17,659.96,41.81,0.87,11-06-2020,18,11397.0,722.0,15.0
18-44,3044.97,301.51,22.17,11-06-2020,18,102606.0,10160.0,747.0
45-64,4324.22,945.5,211.13,11-06-2020,18,88908.0,19440.0,4341.0
65-74,4229.47,1835.74,684.72,11-06-2020,18,29569.0,12834.0,4787.0
75+,4955.44,2957.9,1737.01,11-06-2020,18,27105.0,16179.0,9501.0
Citywide,3096.79,706.5,230.89,11-06-2020,18,260092.0,59337.0,19392.0
0-17,667.78,41.81,0.87,11-07-2020,18,11532.0,722.0,15.0
18-44,3064.56,302.14,22.17,11-07-2020,18,103266.0,10181.0,747.0
45-64,4336.91,946.43,211.23,11-07-2020,18,89169.0,19459.0,4343.0
65-74,4237.48,1838.03,684.72,11-07-2020,18,29625.0,12850.0,4787.0
75+,4963.48,2960.46,1737.74,11-07-2020,18,27149.0,16193.0,9505.0
Citywide,3110.5,707.33,230.96,11-07-2020,18,261243.0,59407.0,19398.0
0-17,673.86,41.92,0.87,11-08-2020,18,11637.0,724.0,15.0
18-44,3073.76,302.52,22.23,11-08-2020,18,103576.0,10194.0,749.0
45-64,4344.01,947.3,211.33,11-08-2020,18,89315.0,19477.0,4345.0
65-74,4244.06,1839.89,685.15,11-08-2020,18,29671.0,12863.0,4790.0
75+,4970.79,2963.94,1738.65,11-08-2020,18,27189.0,16212.0,9510.0
Citywide,3118.19,708.11,231.11,11-08-2020,18,261889.0,59472.0,19410.0
0-17,2197.33,138.87,,11-09-2020,18,11669.0,724.0,
18-44,9150.86,886.62,63.92,11-09-2020,18,103596.0,10200.0,749.0
45-64,8817.07,1929.85,431.28,11-09-2020,18,89323.0,19491.0,4345.0
65-74,4127.46,1790.36,666.67,11-09-2020,18,29668.0,12869.0,4792.0
75+,4840.37,2889.02,1693.88,11-09-2020,18,27184.0,16225.0,9513.0
Citywide,3141.98,713.83,232.88,11-09-2020,18,261941.0,59511.0,19415.0
0-17,2226.0,132.64000000000001,,11-10-2020,19,11832.0,692.0,
18-44,9219.119999999999,870.9300000000001,63.85,11-10-2020,19,104327.0,10024.0,748.0
45-64,8851.76,1916.59,431.58,11-10-2020,19,89675.0,19357.0,4348.0
65-74,4140.68,1775.47,666.81,11-10-2020,19,29763.0,12762.0,4793.0
75+,4848.74,2861.77,1694.06,11-10-2020,19,27231.0,16072.0,9514.0
Citywide,3158.64,706.61,232.93,11-10-2020,19,263330.0,58909.0,19419.0
0-17,2248.27,139.48,,11-11-2020,19,11959.0,727.0,
18-44,9265.970000000001,888.64,63.71,11-11-2020,19,104837.0,10223.0,747.0
45-64,8875.119999999999,1933.8899999999999,431.88,11-11-2020,19,89912.0,19532.0,4351.0
65-74,4149.03,1793.42,667.09,11-11-2020,19,29823.0,12891.0,4795.0
75+,4853.55,2894.54,1694.77,11-11-2020,19,27258.0,16256.0,9518.0
Citywide,3170.19,715.27,233.03,11-11-2020,19,264293.0,59631.0,19427.0
0-17,2278.13,139.81,,11-12-2020,19,12121.0,729.0,
18-44,9316.18,889.87,63.71,11-12-2020,19,105375.0,10238.0,747.0
45-64,8904.51,1935.6799999999998,431.98,11-12-2020,19,90210.0,19550.0,4352.0
65-74,4159.88,1795.09,667.23,11-12-2020,19,29901.0,12903.0,4796.0
75+,4862.63,2896.14,1694.77,11-12-2020,19,27309.0,16265.0,9518.0
Citywide,3183.71,715.94,233.05,11-12-2020,19,265420.0,59687.0,19429.0
0-17,2306.76,140.17000000000002,,11-13-2020,19,12282.0,731.0,
18-44,9369.85,890.44,63.71,11-13-2020,19,105957.0,10246.0,747.0
45-64,8934.39,1937.55,431.98,11-13-2020,19,90513.0,19569.0,4352.0
65-74,4170.17,1796.9,667.37,11-13-2020,19,29975.0,12916.0,4797.0
75+,4868.68,2899.88,1694.95,11-13-2020,19,27343.0,16286.0,9519.0
Citywide,3197.55,716.7,233.07,11-13-2020,19,266574.0,59750.0,19431.0
0-17,2342.88,140.78,,11-14-2020,19,12482.0,734.0,
18-44,9423.14,892.82,63.71,11-14-2020,19,106548.0,10269.0,747.0
45-64,8962.77,1940.52,432.07,11-14-2020,19,90801.0,19599.0,4353.0
65-74,4182.69,1800.1,667.92,11-14-2020,19,30065.0,12939.0,4801.0
75+,4879.01,2903.26,1696.55,11-14-2020,19,27401.0,16305.0,9528.0
Citywide,3212.28,717.88,233.24,11-14-2020,19,267802.0,59848.0,19445.0
0-17,2378.9700000000003,141.20999999999998,,11-15-2020,19,12692.0,736.0,
18-44,9489.17,894.3299999999999,63.870000000000005,11-15-2020,19,107263.0,10288.0,749.0
45-64,9002.15,1941.91,432.17,11-15-2020,19,91200.0,19613.0,4354.0
65-74,4196.33,1801.9,668.2,11-15-2020,19,30163.0,12952.0,4803.0
75+,4890.76,2906.47,1697.62,11-15-2020,19,27467.0,16323.0,9534.0
Citywide,3230.14,718.67,233.37,11-15-2020,19,269291.0,59914.0,19456.0
0-17,2400.1099999999997,142.05,,11-16-2020,19,12812.0,740.0,
18-44,9534.44,895.9100000000001,63.870000000000005,11-16-2020,19,107750.0,10307.0,749.0
45-64,9025.83,1943.79,432.37,11-16-2020,19,91440.0,19632.0,4356.0
65-74,4206.9,1803.43,667.92,11-16-2020,19,30239.0,12963.0,4801.0
75+,4899.84,2909.85,1698.33,11-16-2020,19,27518.0,16342.0,9538.0
Citywide,3241.81,719.53,233.42,11-16-2020,19,270264.0,59986.0,19460.0
0-17,2429.75,142.42000000000002,,11-17-2020,19,12981.0,742.0,
18-44,9609.44,897.4000000000001,63.870000000000005,11-17-2020,19,108572.0,10323.0,749.0
45-64,9065.36,1945.48,432.46000000000004,11-17-2020,19,91841.0,19649.0,4357.0
65-74,4220.67,1805.52,667.92,11-17-2020,19,30338.0,12978.0,4801.0
75+,4910.7,2914.66,1698.87,11-17-2020,19,27579.0,16369.0,9541.0
Citywide,3260.43,720.45,233.47,11-17-2020,19,271816.0,60063.0,19464.0
0-17,2459.15,142.42000000000002,,11-18-2020,19,13143.0,742.0,
18-44,9663.18,898.36,63.870000000000005,11-18-2020,19,109166.0,10334.0,749.0
45-64,9099.83,1946.28,432.66999999999996,11-18-2020,19,92191.0,19657.0,4359.0
65-74,4232.08,1806.08,668.76,11-18-2020,19,30420.0,12982.0,4807.0
75+,4924.06,2915.9,1700.11,11-18-2020,19,27654.0,16376.0,9548.0
Citywide,3275.59,720.81,233.65,11-18-2020,19,273080.0,60093.0,19479.0
0-17,2494.9700000000003,143.57999999999998,,11-19-2020,19,13337.0,749.0,
18-44,9732.439999999999,901.31,63.93000000000001,11-19-2020,19,109927.0,10365.0,750.0
45-64,9138.189999999999,1953.29,433.46,11-19-2020,19,92580.0,19728.0,4367.0
65-74,4245.02,1810.81,669.45,11-19-2020,19,30513.0,13016.0,4812.0
75+,4932.6,2923.74,1702.25,11-19-2020,19,27702.0,16420.0,9560.0
Citywide,3293.42,723.06,233.96,11-19-2020,19,274566.0,60280.0,19505.0
0-17,2527.01,143.76999999999998,,11-20-2020,19,13518.0,750.0,
18-44,9799.35,902.97,63.93000000000001,11-20-2020,19,110635.0,10384.0,750.0
45-64,9173.27,1957.1399999999999,433.16,11-20-2020,19,92936.0,19767.0,4364.0
65-74,4259.77,1812.76,669.73,11-20-2020,19,30619.0,13030.0,4814.0
75+,4944.53,2926.59,1704.39,11-20-2020,19,27769.0,16436.0,9572.0
Citywide,3310.45,724.13,234.11,11-20-2020,19,275986.0,60369.0,19517.0
0-17,2565.29,143.95999999999998,,11-21-2020,19,13733.0,751.0,
18-44,9873.86,904.5999999999999,64.0,11-21-2020,19,111436.0,10400.0,751.0
45-64,9210.66,1959.84,433.36,11-21-2020,19,93315.0,19794.0,4366.0
65-74,4274.79,1814.84,670.01,11-21-2020,19,30727.0,13045.0,4816.0
75+,4955.75,2931.22,1705.45,11-21-2020,19,27832.0,16462.0,9578.0
Citywide,3329.3,725.14,234.24,11-21-2020,19,277558.0,60454.0,19528.0
0-17,2593.6000000000004,144.61,,11-22-2020,19,13888.0,754.0,
18-44,9938.37,907.75,64.0,11-22-2020,19,112148.0,10434.0,751.0
45-64,9249.310000000001,1962.3200000000002,433.56,11-22-2020,19,93707.0,19819.0,4368.0
65-74,4287.31,1816.93,670.15,11-22-2020,19,30817.0,13060.0,4817.0
75+,4964.3,2934.06,1706.34,11-22-2020,19,27880.0,16478.0,9583.0
Citywide,3346.07,726.26,234.35,11-22-2020,19,278956.0,60547.0,19537.0
0-17,2624.4900000000002,145.64,,11-23-2020,19,14066.0,759.0,
18-44,10016.38,909.81,64.0,11-23-2020,19,112975.0,10459.0,751.0
45-64,9292.49,1969.1,433.86,11-23-2020,19,94145.0,19888.0,4371.0
65-74,4304.29,1820.13,670.29,11-23-2020,19,30939.0,13083.0,4818.0
75+,4978.19,2940.3,1706.88,11-23-2020,19,27958.0,16513.0,9586.0
Citywide,3365.77,728.14,234.43,11-23-2020,19,280598.0,60704.0,19544.0
0-17,2654.83,146.5,,11-24-2020,20,14229.0,764.0,
18-44,10079.7,912.3199999999999,64.0,11-24-2020,20,113674.0,10486.0,751.0
45-64,9325.82,1975.03,433.96,11-24-2020,20,94483.0,19948.0,4372.0
65-74,4317.36,1825.42,670.29,11-24-2020,20,31033.0,13121.0,4818.0
75+,4989.05,2947.42,1707.59,11-24-2020,20,28019.0,16553.0,9590.0
Citywide,3381.96,730.18,234.49,11-24-2020,20,281948.0,60874.0,19549.0
0-17,2681.79,146.88,,11-25-2020,20,14377.0,766.0,
18-44,10139.630000000001,913.9000000000001,64.0,11-25-2020,20,114351.0,10504.0,751.0
45-64,9359.27,1978.3,433.96,11-25-2020,20,94822.0,19981.0,4372.0
65-74,4330.02,1827.5,670.29,11-25-2020,20,31124.0,13136.0,4818.0
75+,4998.66,2951.34,1709.02,11-25-2020,20,28073.0,16575.0,9598.0
Citywide,3397.7,731.26,234.59,11-25-2020,20,283260.0,60964.0,19557.0
0-17,2718.3,147.07,,11-26-2020,20,14585.0,767.0,
18-44,10230.119999999999,915.5999999999999,64.0,11-26-2020,20,115348.0,10525.0,751.0
45-64,9410.67,1981.47,433.96000000000004,11-26-2020,20,95343.0,20013.0,4372.0
65-74,4348.11,1830.42,670.29,11-26-2020,20,31254.0,13157.0,4818.0
75+,5017.18,2957.21,1710.44,11-26-2020,20,28177.0,16608.0,9606.0
Citywide,3421.2,732.56,234.66,11-26-2020,20,285219.0,61072.0,19563.0
0-17,2766.56,147.57999999999998,,11-27-2020,20,14843.0,770.0,
18-44,10313.970000000001,916.71,64.0,11-27-2020,20,116295.0,10537.0,751.0
45-64,9458.17,1983.25,434.55,11-27-2020,20,95825.0,20031.0,4378.0
65-74,4365.22,1831.82,670.43,11-27-2020,20,31377.0,13167.0,4819.0
75+,5031.25,2959.71,1711.15,11-27-2020,20,28256.0,16622.0,9610.0
Citywide,3443.86,733.24,234.79,11-27-2020,20,287108.0,61129.0,19574.0
0-17,2810.2999999999997,148.38,,11-28-2020,20,15081.0,774.0,
18-44,10398.88,920.0,64.0,11-28-2020,20,117233.0,10575.0,751.0
45-64,9507.25,1989.38,435.05,11-28-2020,20,96323.0,20093.0,4383.0
65-74,4383.59,1837.66,670.01,11-28-2020,20,31509.0,13209.0,4816.0
75+,5048.52,2971.28,1712.22,11-28-2020,20,28353.0,16687.0,9616.0
Citywide,3466.71,735.77,234.89,11-28-2020,20,289013.0,61340.0,19582.0
0-17,2836.15,148.78,,11-29-2020,20,15226.0,777.0,
18-44,10456.57,922.23,64.0,11-29-2020,20,117870.0,10602.0,751.0
45-64,9541.29,1991.97,434.95,11-29-2020,20,96668.0,20119.0,4382.0
65-74,4394.99,1841.0,670.01,11-29-2020,20,31591.0,13233.0,4816.0
75+,5061.88,2975.91,1712.22,11-29-2020,20,28428.0,16713.0,9616.0
Citywide,3482.08,737.04,234.87,11-29-2020,20,290295.0,61446.0,19581.0
0-17,2883.7799999999997,149.2,,11-30-2020,20,15486.0,779.0,
18-44,10548.8,925.1700000000001,63.980000000000004,11-30-2020,20,118894.0,10636.0,751.0
45-64,9594.45,1996.31,434.76,11-30-2020,20,97208.0,20163.0,4380.0
65-74,4416.98,1845.59,670.71,11-30-2020,20,31749.0,13266.0,4821.0
75+,5082.89,2984.99,1713.29,11-30-2020,20,28546.0,16764.0,9622.0
Citywide,3507.27,739.01,234.98,11-30-2020,20,292395.0,61610.0,19590.0
0-17,2933.68,149.53,,12-01-2020,20,15763.0,781.0,
18-44,10641.71,927.64,63.980000000000004,12-01-2020,20,119916.0,10665.0,751.0
45-64,9657.36,2000.87,434.84999999999997,12-01-2020,20,97846.0,20209.0,4381.0
65-74,4444.38,1850.46,670.84,12-01-2020,20,31946.0,13301.0,4822.0
75+,5098.02,2990.69,1713.82,12-01-2020,20,28631.0,16796.0,9625.0
Citywide,3533.88,740.74,235.04,12-01-2020,20,294613.0,61754.0,19595.0
0-17,2988.2200000000003,150.19,,12-02-2020,20,16064.0,785.0,
18-44,10746.0,928.46,63.980000000000004,12-02-2020,20,121065.0,10673.0,751.0
45-64,9721.7,2002.3500000000001,435.16,12-02-2020,20,98499.0,20224.0,4384.0
65-74,4467.62,1852.41,671.4,12-02-2020,20,32113.0,13315.0,4826.0
75+,5118.68,2991.93,1714.0,12-02-2020,20,28747.0,16803.0,9626.0
Citywide,3562.47,741.31,235.14,12-02-2020,20,296997.0,61802.0,19603.0
0-17,3038.9700000000003,150.89000000000001,,12-03-2020,20,16339.0,789.0,
18-44,10863.99,931.13,64.0,12-03-2020,20,122350.0,10704.0,751.0
45-64,9786.04,2010.55,435.46,12-03-2020,20,99152.0,20307.0,4387.0
65-74,4493.08,1857.69,672.24,12-03-2020,20,32296.0,13353.0,4832.0
75+,5139.15,3002.26,1714.18,12-03-2020,20,28862.0,16861.0,9627.0
Citywide,3592.61,743.88,235.26,12-03-2020,20,299509.0,62016.0,19613.0
0-17,3116.6600000000003,151.02,,12-04-2020,20,16765.0,790.0,
18-44,10981.17,933.4,64.09,12-04-2020,20,123657.0,10730.0,752.0
45-64,9862.42,2016.58,435.46,12-04-2020,20,99926.0,20368.0,4387.0
65-74,4521.04,1863.67,672.93,12-04-2020,20,32497.0,13396.0,4837.0
75+,5163.55,3010.27,1715.96,12-04-2020,20,28999.0,16906.0,9637.0
Citywide,3626.85,745.98,235.44,12-04-2020,20,302364.0,62191.0,19628.0
0-17,3116.6600000000003,151.02,,12-04-2020,20,16765.0,790.0,
18-44,10981.17,933.4,64.09,12-04-2020,20,123657.0,10730.0,752.0
45-64,9862.42,2016.58,435.46,12-04-2020,20,99926.0,20368.0,4387.0
65-74,4521.04,1863.67,672.93,12-04-2020,20,32497.0,13396.0,4837.0
75+,5163.55,3010.27,1715.96,12-04-2020,20,28999.0,16906.0,9637.0
Citywide,3626.85,745.98,235.44,12-04-2020,20,302364.0,62191.0,19628.0
0-17,3170.44,151.64,,12-05-2020,20,17070.0,793.0,
18-44,11092.039999999999,937.09,64.09,12-05-2020,20,124890.0,10773.0,752.0
45-64,9928.16,2021.81,436.15,12-05-2020,20,100593.0,20421.0,4394.0
65-74,4544.97,1870.07,673.63,12-05-2020,20,32669.0,13442.0,4842.0
75+,5185.27,3020.78,1718.27,12-05-2020,20,29121.0,16965.0,9650.0
Citywide,3656.82,748.44,235.74,12-05-2020,20,304862.0,62396.0,19653.0
0-17,3228.42,152.25,,12-06-2020,20,17384.0,796.0,
18-44,11193.45,938.8599999999999,64.09,12-06-2020,20,125990.0,10794.0,752.0
45-64,9992.68,2026.2800000000002,436.15,12-06-2020,20,101247.0,20466.0,4394.0
65-74,4571.4,1874.25,674.32,12-06-2020,20,32859.0,13472.0,4847.0
75+,5210.91,3028.26,1719.34,12-06-2020,20,29265.0,17007.0,9656.0
Citywide,3685.68,750.14,235.87,12-06-2020,20,307268.0,62538.0,19664.0
0-17,3285.11,152.81,,12-07-2020,20,17702.0,799.0,
18-44,11290.77,941.09,64.09,12-07-2020,20,127066.0,10822.0,752.0
45-64,10052.14,2029.15,436.25,12-07-2020,20,101850.0,20495.0,4395.0
65-74,4596.03,1876.75,674.6,12-07-2020,20,33036.0,13490.0,4849.0
75+,5232.46,3034.49,1720.23,12-07-2020,20,29386.0,17042.0,9661.0
Citywide,3713.24,751.5,235.98,12-07-2020,20,309566.0,62651.0,19673.0
0-17,3354.2599999999998,154.29,,12-08-2020,21,18095.0,807.0,
18-44,11410.91,944.16,64.09,12-08-2020,21,128363.0,10858.0,752.0
45-64,10124.53,2037.75,436.75,12-08-2020,21,102584.0,20582.0,4400.0
65-74,4621.76,1884.82,674.88,12-08-2020,21,33221.0,13548.0,4851.0
75+,5251.87,3048.2,1722.19,12-08-2020,21,29495.0,17119.0,9672.0
Citywide,3745.81,754.68,236.19,12-08-2020,21,312281.0,62916.0,19691.0
0-17,3423.95,154.61,,12-09-2020,21,18486.0,809.0,
18-44,11517.99,948.3,63.93000000000001,12-09-2020,21,129552.0,10906.0,750.0
45-64,10191.17,2043.81,436.25,12-09-2020,21,103260.0,20643.0,4395.0
65-74,4650.28,1891.92,675.44,12-09-2020,21,33426.0,13599.0,4855.0
75+,5269.14,3055.86,1723.26,12-09-2020,21,29592.0,17162.0,9678.0
Citywide,3776.53,757.14,236.23,12-09-2020,21,314842.0,63121.0,19694.0
0-17,3480.79,157.57,,12-10-2020,21,18802.0,824.0,
18-44,11630.43,953.1600000000001,63.69,12-10-2020,21,130814.0,10965.0,747.0
45-64,10257.71,2052.22,436.05,12-10-2020,21,103934.0,20728.0,4393.0
65-74,4676.99,1899.29,675.16,12-10-2020,21,33618.0,13652.0,4853.0
75+,5293.89,3068.5,1726.29,12-10-2020,21,29731.0,17233.0,9695.0
Citywide,3807.5,760.53,236.35,12-10-2020,21,317424.0,63404.0,19704.0
0-17,3546.94,158.35,,12-11-2020,21,19180.0,828.0,
18-44,11736.990000000002,957.01,63.75,12-11-2020,21,132000.0,11008.0,748.0
45-64,10328.59,2060.84,436.45,12-11-2020,21,104653.0,20815.0,4397.0
65-74,4706.07,1905.13,676.13,12-11-2020,21,33827.0,13694.0,4860.0
75+,5320.42,3080.43,1729.31,12-11-2020,21,29880.0,17300.0,9712.0
Citywide,3839.2,763.44,236.7,12-11-2020,21,320067.0,63647.0,19733.0
0-17,3621.5099999999998,160.24,,12-12-2020,21,19602.0,838.0,
18-44,11872.34,962.3799999999999,63.84,12-12-2020,21,133494.0,11069.0,749.0
45-64,10412.25,2072.5299999999997,436.75,12-12-2020,21,105501.0,20933.0,4400.0
65-74,4742.8,1915.15,676.55,12-12-2020,21,34091.0,13766.0,4863.0
75+,5345.52,3095.56,1731.81,12-12-2020,21,30021.0,17385.0,9726.0
Citywide,3877.2,767.6,236.95,12-12-2020,21,323235.0,63993.0,19754.0
0-17,3423.95,154.61,,12-13-2020,21,18486.0,809.0,
18-44,11517.99,948.3,63.93000000000001,12-13-2020,21,129552.0,10906.0,750.0
45-64,10191.17,2043.81,436.25,12-13-2020,21,103260.0,20643.0,4395.0
65-74,4650.28,1891.92,675.44,12-13-2020,21,33426.0,13599.0,4855.0
75+,5269.14,3055.86,1723.26,12-13-2020,21,29592.0,17162.0,9678.0
Citywide,3776.53,757.14,236.23,12-13-2020,21,314842.0,63121.0,19694.0
0-17,3738.1400000000003,161.31,,12-14-2020,21,20266.0,844.0,
18-44,12082.01,965.7,63.93000000000001,12-14-2020,21,135794.0,11109.0,750.0
45-64,10543.39,2083.71,437.55,12-14-2020,21,106831.0,21046.0,4408.0
65-74,4799.84,1926.14,678.36,12-14-2020,21,34501.0,13845.0,4876.0
75+,5396.81,3113.01,1735.01,12-14-2020,21,30309.0,17483.0,9744.0
Citywide,3937.14,771.63,237.43,12-14-2020,21,328232.0,64329.0,19794.0
0-17,3821.92,161.69,,12-15-2020,21,20728.0,846.0,
18-44,12218.58,969.6500000000001,64.02,12-15-2020,21,137283.0,11155.0,751.0
